stride 1:
\ ) \.          2               ##
\ /. *          2               ##
\ @ >           2               ##
\ @. &.         2               ##
\ ~ @           2               ##
\. ) (          2               ##
^ { (           2               ##
benil ) @.      2               ##
place 'ip' ;    2               ##
place 'tape' #  2               ##
place ( 'tp'    2               ##
{ ( 1           2               ##
{ ) ;           2               ##
{ ) \:          2               ##
{ ) place       2               ##
} ) \.          2               ##
} 2 %           2               ##
~: \ /.         2               ##
constants:
0                19               ###################
1                16               ################
2                16               ################
'ip'             9                #########
'tape'           6                ######
'tp'             6                ######
'code'           5                #####
' '              3                ###
L                3                ###
10               2                ##
16               2                ##
256              2                ##
'jtab'           2                ##
3                1                #
5                1                #
6                1                #
21               1                #
121              1                #
1000             1                #
30000            1                #
1000000          1                #
4000000          1                #
600851475143     1                #
'()'             1                #
'+'              1                #
'+-<>[ ] , . ?'  1                #
'0'              1                #
':'              1                #
'>'              1                #
'A'              1                #
'Hello, World!'  1                #
'HelloWorld'     1                #
'[]'             1                #
'\n'             1                #
'dark'           1                #
'light'          1                #
E                1                #
con              1                #
vow              1                #
